"","text","created"
"79","Oh, I get it! I am a very good developer, happily living my life, when I see our Country going in the wrong directi… https://t.co/hujMqC8veV",2018-11-30
"80","Arrived in Argentina with a very busy two days planned. Important meetings scheduled throughout. Our great Country… https://t.co/1qae0sDnNZ",2018-11-30
"81","Alan Dershowitz: “These are not crimes. He (Mueller) has no authority to be a roving Commissioner. I don’t see any… https://t.co/weM0M7KfyX",2018-11-30
"82","“This demonstrates the Robert Mueller and his partisans have no evidence, not a whiff of collusion, between Trump a… https://t.co/KHbUIWIV4G",2018-11-30
"83","Just landed in Argentina with @FLOTUS Melania! #G20Summit https://t.co/Zg15gmPazF",2018-11-30
"84","As RNC Chair Ronna McDaniel oversaw history defying gains in the Senate and unprecedented fundraising strength. I h… https://t.co/tEgNm6UDHI",2018-11-30
"85","We have been working hard on this - and it’s only going to get better! https://t.co/MtGjmhMO8B",2018-11-29
"86","With all of the new books coming out you can't forget two of the great originals written by @GreggJarrett and… https://t.co/EPeB8ZgT9z",2018-11-29
"87",".@DBongino’s new book, ""Spygate: The Attempted Sabotage of Donald J. Trump,"" is terrific. He's tough, he's smart, a… https://t.co/AZfUfuuVKs",2018-11-29
"88","....They have really done a great job in capturing my long-held views and ideas. This book is on sale now - a terri… https://t.co/uL14F6y1Pd",2018-11-29
"89",".@StephenMoore and Arthur Laffer, two very talented men, have just completed an incredible book on my Economic Poli… https://t.co/n3jgkFlFmQ",2018-11-29
"90",".@SteveScalise has written an absolutely fascinating book (BACK IN THE GAME) on the world of D.C. politics, and mor… https://t.co/6sWzQlnaGM",2018-11-29
"91","....in Argentina with President Vladimir Putin. I look forward to a meaningful Summit again as soon as this situation is resolved!",2018-11-29
"92","Based on the fact that the ships and sailors have not been returned to Ukraine from Russia, I have decided it would… https://t.co/IoLJSZ0cZv",2018-11-29
"93","Billions of Dollars are pouring into the coffers of the U.S.A. because of the Tariffs being charged to China, and t… https://t.co/CgZbdOO8FE",2018-11-29
"94","When will this illegal Joseph McCarthy style Witch Hunt, one that has shattered so many innocent lives, ever end-or… https://t.co/9CkDPhs5pS",2018-11-29
"95",".....and G.M. would not be closing their plants in Ohio, Michigan &amp; Maryland. Get smart Congress. Also, the countri… https://t.co/6bASKPcvH1",2018-11-28
"96","The reason that the small truck business in the U.S. is such a go to favorite is that, for many years, Tariffs of 2… https://t.co/XtFBz2Po4U",2018-11-28
"97","While the disgusting Fake News is doing everything within their power not to report it that way, at least 3 major p… https://t.co/LdwHVTnoWn",2018-11-28
"98","Congratulations to Senator Cindy Hyde-Smith on your big WIN in the Great State of Mississippi. We are all very proud of you!",2018-11-28
"99","Brenda Snipes, in charge of voting in Broward County, Florida, was just spotted wearing a beautiful dress with 300… https://t.co/gPIS4u4r7Q",2018-11-28
"100","The Mueller Witch Hunt is a total disgrace. They are looking at supposedly stolen Crooked Hillary Clinton Emails (e… https://t.co/Hd4mV8lxv2",2018-11-28
"101","....for electric cars. General Motors made a big China bet years ago when they built plants there (and in Mexico) -… https://t.co/0U7lwZ3pfy",2018-11-27
"102","Very disappointed with General Motors and their CEO, Mary Barra, for closing plants in Ohio, Michigan and Maryland.… https://t.co/5JUbkq1Xkg",2018-11-27
"103","Polls are open in Mississippi. We need Cindy Hyde-Smith in Washington. GO OUT AND VOTE. Thanks!",2018-11-27
"104","....terrible Gang of Angry Democrats. Look at their past, and look where they come from. The now $30,000,000 Witch… https://t.co/g3rup9iqga",2018-11-27
"105","....The Fake News Media builds Bob Mueller up as a Saint, when in actuality he is the exact opposite. He is doing T… https://t.co/kpN479HQns",2018-11-27
"106","The Phony Witch Hunt continues, but Mueller and his gang of Angry Dems are only looking at one side, not the other.… https://t.co/zfYQKl1a2I",2018-11-27
"107","....starts today, election is on December 4th. @VoteBradRaff is tough on Crime and Borders, Loves our Military and… https://t.co/Zt8B8PBRN5",2018-11-26
"108","Brad Raffensperger will be a fantastic Secretary of State for Georgia - will work closely with @BrianKempGA. It is… https://t.co/h7aOpxnTuw",2018-11-26
"109","....and false way. Something has to be done, including the possibility of the United States starting our own Worldw… https://t.co/hIFQy1Snku",2018-11-26
"110","While CNN doesn’t do great in the United States based on ratings, outside of the U.S. they have very little competi… https://t.co/mQBNuDHedg",2018-11-26
"111","On the ten-year anniversary of the Mumbai terror attack, the U.S. stands with the people of India in their quest fo… https://t.co/P9Vwr8jI5x",2018-11-26
"112","....hundreds of people closely involved with my campaign who never met, saw or spoke to a Russian during this perio… https://t.co/py4yYvionQ",2018-11-26
"113","When Mueller does his final report, will he be covering all of his conflicts of interest in a preamble, will he be… https://t.co/eCxlTnU8Bb",2018-11-26
"114","Mexico should move the flag waving Migrants, many of whom are stone cold criminals, back to their countries. Do it… https://t.co/IqgnrBTQFl",2018-11-26
"115","....children from parents, as did Bush etc., because that is the policy and law. I tried to keep them together but… https://t.co/Uh5gzYxGyY",2018-11-26
"116",".@60Minutes did a phony story about child separation when they know we had the exact same policy as the Obama Admin… https://t.co/7I3I4zpJvC",2018-11-26
"117","Clinton Foundation donations drop 42% - which shows that they illegally played the power game. They monetized their… https://t.co/ezPedNXAiV",2018-11-25
"118","Europe has to pay their fair share for Military Protection. The European Union, for many years, has taken advantage… https://t.co/BCzK1aitdo",2018-11-25
"119","General Anthony Tata: “President Trump is a man of his word &amp; he said he was going to be tough on the Border, and h… https://t.co/dEg3NQZM8j",2018-11-25
"120","Mississippi, Vote for @cindyhydesmith on Tuesday. Respected by all. We need her in Washington!. Thanks!",2018-11-25
"121","So great that oil prices are falling (thank you President T). Add that, which is like a big Tax Cut, to our other g… https://t.co/uPIYY5MiqB",2018-11-25
"122","Would be very SMART if Mexico would stop the Caravans long before they get to our Southern Border, or if originatin… https://t.co/bAZjE2kSDE",2018-11-25
"123","The large and violent French protests don’t take into account how badly the United States has been treated on Trade… https://t.co/PTKYb1tZDX",2018-11-25
"124","I will be in Gulfport and Tupelo, Mississippi, on Monday night doing two Rallies for Senator Hyde-Smith, who has a… https://t.co/DD7Am2nSiZ",2018-11-25
"125","Victor Davis Hanson was a very good and interesting guest of Mark Levin on @FoxNews. He wrote a highly touted book… https://t.co/dWs5lHPuNl",2018-11-25
"126","....All will stay in Mexico. If for any reason it becomes necessary, we will CLOSE our Southern Border. There is no… https://t.co/1SscdAbmV9",2018-11-24
"127","Migrants at the Southern Border will not be allowed into the United States until their claims are individually appr… https://t.co/1rhhYBhKvM",2018-11-24
"128","I am extremely happy and proud of the job being done by @USTreasury Secretary @StevenMnuchin1. The FAKE NEWS likes… https://t.co/4TGOCHo1Qh",2018-11-23
"129","Really good Criminal Justice Reform has a true shot at major bipartisan support. @senatemajldr Mitch McConnell and… https://t.co/dH4xiXzvaO",2018-11-23
"130","Republicans and Democrats MUST come together, finally, with a major Border Security package, which will include fun… https://t.co/z2sbDnYhJ5",2018-11-23
"131","Our highly trained security professionals are not allowed to do their job on the Border because of the Judicial Act… https://t.co/ro2GDIdi99",2018-11-22
"132","This is the coldest weather in the history of the Thanksgiving Day Parade in NYC, and one of the coldest Thanksgivings on record!",2018-11-22
"133","https://t.co/y4chCfEDke",2018-11-22
"134","Will be speaking with our great military in different parts of the world, through teleconference, at 9:00 A.M. East… https://t.co/SaA6wsJqsN",2018-11-22
"135","....and Safety at the Border, or anywhere else. They know nothing about it and are making our Country unsafe. Our g… https://t.co/LJNXwcDdkj",2018-11-22
"136","Justice Roberts can say what he wants, but the 9th Circuit is a complete &amp; total disaster. It is out of control, ha… https://t.co/pdeDV726jf",2018-11-22
"137","HAPPY THANKSGIVING TO ALL!",2018-11-22
"138","“It’s a mean &amp; nasty world out there, the Middle East in particular. This is a long and historic commitment, &amp; one… https://t.co/peZsXtB57e",2018-11-22
